Filer ID,Name,Office,Subdivision,Municipality,District,County
C40998,ALBANY NEIGHBORHOODS FIRST,N/A,County,Albany,N/A,Albany County
C84821,ALEXANDER EDWARDS GORDON,County Legislator,County,Albany,39,Albany County
C35266,ALEXANDER GORDON,County Legislator,County,Albany,39,Albany County
C00696,ALEXANDER M. PORTELLI,Mayor,City,Albany,N/A,Albany County
C07762,ALEXANDER THOMA,Common Council,City,Albany,9,Albany County
C06320,ALEXANDRA MOREAU,Town Council,Town,New Scotland,N/A,Albany County
C07140,ALFREDO BALARIN,Common Council,City,Albany,11,Albany County
C04614,ALICIA M. RONEY,Receiver of Taxes,Town,Bethlehem,N/A,Albany County
C01479,ALISON MCLEAN LANE,County Legislator,County,Albany,14,Albany County
C08889,ALISON MCLEAN LANE,Town Clerk,Town,Colonie,N/A,Albany County
C02627,ALLAN PAUL REA,Town Board,Town,Colonie,N/A,Albany County
C21730,ALLEN F. MAIKELS,Comptroller,County,Albany,N/A,Albany County
C84547,ALLEN F. MAIKELS,Town Board,Town,Guilderland,N/A,Albany County
C35419,ALLISON MCLEAN,Town Clerk,Town,Colonie,N/A,Albany County
C35644,ALLYN P. WRIGHT,Councilman,Town,Rensselaerville,1,Albany County
C07329,AMEROSO FOR COUNCIL,Common Council,City,Albany,6,Albany County
C09215,AMY B. LAUTERBACH POKORNY,Town Supervisor,Town,Knox,N/A,Albany County
C10414,AMY ELIZABETH JOYCE,Family Court Judge,County,Albany,N/A,Albany County
C10353,ANDRA LYNN ACKERMAN,County Court Judge,County,Albany,N/A,Albany County
C23221,ANDRE BOOTH CLARIDGE,Town Board,Town,Colonie,N/A,Albany County
C00624,ANDRES RIVERA JR.,Common Council,City,Albany,1,Albany County
C21013,ANDREW C. SOMMERS,Town Justice,Town,Colonie,N/A,Albany County
C07156,ANDREW C. SOMMERS,Town Justice,Town,Colonie,N/A,Albany County
C03627,ANDREW CRIST JOYCE,County Legislator,County,Albany,9,Albany County
C04459,ANDREW S. HOLLAND,County Legislator,County,Albany,33,Albany County
C00603,ANDREW WINANS KIRBY,Town Justice,Town,Bethlehem,N/A,Albany County
C00352,ANTHONY V. CARDONA JR.,Town Justice,Town,Bethlehem,N/A,Albany County
C33472,ANTON A. KONEV,County Legislator,County,Albany,32,Albany County
C31405,APRIL A. KENNEDY,City Council,City,Cohoes,N/A,Albany County
C04548,APRIL TRUDEAU,City Council,City,Cohoes,6,Albany County
C32906,ARTHUR P. SCHEUERMANN,Town Board,Town,Bethlehem,N/A,Albany County
C25662,ASSIDUITY COMMITTEE,N/A,County,Albany,N/A,Albany County
C47436,BARBARA SMITH,Common Council,City,Albany,4,Albany County
C71715,BARNETTE FOR STATE COMMITTEE,State Committee,County,Albany,104,Albany County
C00723,BAYNES FOR COLONIE TOWN JUDGE,Town Justice,Town,Colonie,N/A,Albany County
C04328,BENJAMIN H. SYDEN,County Legislator,County,Albany,23,Albany County
C08060,"BENJAMIN M. STURGES, III",Coroner,County,Albany,N/A,Albany County
C09193,BERNE REPUBLICAN COMMITTEE,N/A,Town,Berne,N/A,Albany County
C06780,BERORO EFEKORO,Common Council,City,Albany,11,Albany County
C10886,BERORO FOR ALBANY,County Legislator,County,Albany,7,Albany County
C10887,BERORO T. EFEKORO,County Legislator,County,Albany,7,Albany County
C20889,BETHLEHEM DEMOCRATIC COMMITTEE,N/A,Town,Bethlehem,N/A,Albany County
C84002,BETHLEHEM INDEPENDENCE COMMITTEE,N/A,Town,Bethlehem,N/A,Albany County
C87134,BETHLEHEM REFORM DEMOCRATS (BRD),N/A,Town,Bethlehem,N/A,Albany County
C22138,BETHLEHEM REPUBLICAN COMMITTEE,N/A,County,Albany,N/A,Albany County
C20896,BETTY BARNETTE,State Committee,County,Albany,104,Albany County
C31401,BILL RICARD,County Legislator,County,Albany,17,Albany County
C01709,BILL RICARD,Common Council,City,Cohoes,3,Albany County
C88126,BONNIE J FAHEY,County Committee,Town,Bethlehem,31,Albany County
C34571,BRENDAN C. O'SHEA,Town Justice,Town,New Scotland,N/A,Albany County
C00724,BRENDAN FRANCIS BAYNES,Town Justice,Town,Colonie,N/A,Albany County
C00883,BRENT MEREDITH,Highway Superintendent,Town,Bethlehem,N/A,Albany County
C00882,BRENT MEREDITH FOR HIGHWAY SUPERINTENDENT,Highway Superintendent,Town,Bethlehem,N/A,Albany County
C09217,BRETT M. PULLIAM,Town Council,Town,Knox,N/A,Albany County
C09162,BRIAN C. AUSTIN,Town Board,Town,Colonie,N/A,Albany County
C04546,BRIAN E. MANION,Town Board,Town,Colonie,N/A,Albany County
C84629,BRIAN K. FORTE,Town Council,Town,Guilderland,N/A,Albany County
C03568,BRIAN K. FORTE,Supervisor,Town,Guilderland,N/A,Albany County
C26861,BRIAN M. MURPHY,Town Justice,Town,Bethlehem,N/A,Albany County
C87496,BRIAN R. HAAK,Town Council,Town,Colonie,N/A,Albany County
C34920,BRIAN SCAVO,County Legislator,County,Albany,7,Albany County
C04026,BRIDGET ZIGROSSER,Town Board,Town,Bethlehem,N/A,Albany County
C04025,BRIDGET ZIGROSSER FOR TOWN BOARD,Town Board,Town,Bethlehem,N/A,Albany County
C00356,BRUCE A. HIDLEY,County Clerk,County,Albany,N/A,Albany County
C88127,BRUCE O BUSHART,County Committee,Town,Bethlehem,19,Albany County
C01554,BRYAN BEST,Receiver of Taxes,Town,Guilderland,N/A,Albany County
C86010,BRYAN BEST,County Legislator,County,Albany,28,Albany County
C01553,BRYAN BEST FOR GUILDERLAND,Receiver of Taxes,Town,Guilderland,N/A,Albany County
C32780,BRYAN CLENAHAN,County Legislator,County,Albany,30,Albany County
C07157,BRYAN FOR ALBANY,Common Council,City,Albany,13,Albany County
C08498,BRYAN JIMENEZ FOR MAYOR,Mayor,City,Albany,N/A,Albany County
C08499,BRYAN JOSEPH JIMENEZ,Mayor,City,Albany,N/A,Albany County
C09996,BRYAN M. CLENAHAN,Town Justice,Town,Guilderland,N/A,Albany County
C07158,BRYAN REID MARCOU-O'MALLEY,Common Council,City,Albany,13,Albany County
C19761,C. MICHELE ZILGME,Receiver of Taxes,Town,Colonie,N/A,Albany County
C11031,CAMPAIGN TO ELECT FRAN PORTER,County Legislator,County,Albany,31,Albany County
C20461,CAPITAL CITY COMMITTEE,N/A,County,Albany,N/A,Albany County
C00351,CARDONA FOR BETHLEHEM TOWN JUDGE,Town Justice,Town,Bethlehem,N/A,Albany County
C23826,CARL P. ZEILMAN,County Legislator,County,Albany,N/A,Albany County
C03758,CARMEN M. RAU,County Legislator,County,Albany,1,Albany County
C06414,CAROLYN M. KEEFE,County Committee,County,Albany,N/A,Albany County
C49876,CAROLYN MCLAUGHLIN,Pres. Common Council,City,Albany,N/A,Albany County
C06745,CAROLYN MCLAUGHLIN,Mayor,City,Albany,N/A,Albany County
C05045,CARON O'BRIEN CRUMMEY,County Legislator,County,Albany,21,Albany County
C23572,CASEY 2007,N/A,County,Albany,N/A,Albany County
C06701,CASEY FOR ALBANY,City Auditor,City,Albany,N/A,Albany County
C86650,CATHERINE M FAHEY,Common Council,City,Albany,7,Albany County
C51149,CATHERINE M. FAHEY,City Council,City,Albany,7,Albany County
C32545,CATHERINE M. HEDGEMAN,County Legislator,County,Albany,11,Albany County
C72757,CATHRYN DOYLE,Surrogate Court Judge,County,Albany,N/A,Albany County
C88112,CHANSON D NOETHER,County Committee,Town,Bethlehem,15,Albany County
C85120,"CHARLES E. CAHILL, JR",Highway Superintendent,Town,Guilderland,N/A,Albany County
C30911,CHARLES J. DIAMOND,Councilman,City,Watervliet,N/A,Albany County
C20976,CHARLES S. DAWSON JR.,County Legislator,County,Albany,35,Albany County
C05932,CHARLES V. PATRICELLI,Mayor,City,Watervliet,N/A,Albany County
C05957,CHERYL KRISTENE FOWLER,County Court Judge,County,Albany,N/A,Albany County
C48557,CHRIS ALDRICH FOR TOWN JUDGE,Town Justice,Town,Guilderland,N/A,Albany County
C08462,CHRISTINE BADGER MELE,Town Board,Town,Colonie,N/A,Albany County
C04500,CHRISTINE BENEDICT,Supervisor,Town,Colonie,N/A,Albany County
C33496,CHRISTINE M. BENEDICT,County Legislator,County,Albany,28,Albany County
C09765,CHRISTINE NAPIERSKI,Town Justice,Town,Guilderland,N/A,Albany County
C11621,CHRISTOPHER F. DAVIS,City Council,City,Cohoes,5,Albany County
C05104,"CHRISTOPHER GREGORY ELLIS, JR.",County Legislator,County,Albany,6,Albany County
C05256,CHRISTOPHER H. SMITH,County Legislator,County,Albany,39,Albany County
C05222,CHRISTOPHER J. CAREY,Town Board,Town,Colonie,N/A,Albany County
C04401,CHRISTOPHER M. BRIGGS SR.,Common Council,City,Cohoes,3,Albany County
C05187,CHRISTOPHER P. FRUEH,Town Board,Town,New Scotland,N/A,Albany County
C48558,CHRISTOPHER R. ALDRICH,Town Justice,Town,Guilderland,N/A,Albany County
C06959,CHRISTOPHER S. QUIRK,City Auditor,City,Albany,N/A,Albany County
C32403,CHRISTOPHER T. BURKE,County Legislator,County,Albany,6,Albany County
C07578,CHRISTOPHER T. HIGGINS,Council President,City,Albany,N/A,Albany County
C33091,CHRISTOPHER T. HIGGINS,County Legislator,County,Albany,6,Albany County
C34588,CHUCK VOSS,Town Council,Town,New Scotland,N/A,Albany County
C24393,CITIZENS FOR A REPUBLICAN MAJORITY,N/A,County,Albany,N/A,Albany County
C20975,CITIZENS FOR DAWSON,Legislator,County,Albany,N/A,Albany County
C05192,CITIZENS FOR DAWSON,County Legislator,County,Albany,35,Albany County
C20504,CITIZENS FOR DEL TORTO,Clerk,Town,Colonie,N/A,Albany County
C20189,CITIZENS FOR FRANK MAURIELLO,Town Board,Town,Colonie,N/A,Albany County
C07896,CITIZENS FOR HOWARD KOFF,County Clerk,County,Albany,N/A,Albany County
C84861,CITIZENS FOR J. BRIAN HOGAN,County Legislator,County,Albany,21,Albany County
C10532,CITIZENS FOR LAVONDA S. COLLINS,City Court Judge,City,Albany,N/A,Albany County
C31948,CITIZENS FOR MARK GRIMM,County Legislator,County,Albany,29,Albany County
C25573,CITIZENS FOR MARK MITCHELL,N/A,County,Albany,N/A,Albany County
C07148,CITIZENS FOR MARK MITCHELL,Town Board,Town,Colonie,N/A,Albany County
C46662,CITIZENS FOR NELLIGAN,Town Board,Town,Guilderland,N/A,Albany County
C20847,CITIZENS FOR PAULETTE BARLETTE,County Legislator,County,Albany,22,Albany County
C07192,CITIZENS TO ELECT LAVONDA S. COLLINS,City Court Judge,City,Albany,N/A,Albany County
C05628,CITY OF ALBANY DEMOCRATIC COMMITTEE,N/A,City,Albany,N/A,Albany County
C39230,CITY OF ALBANY REPUBLICAN COMMITTEE,N/A,City,Albany,N/A,Albany County
C85744,CLARKSON FOR SUPERVISOR,Supervisor,Town,Bethlehem,N/A,Albany County
C01148,CLIFTON M. DIXON,Common Council,City,Albany,4,Albany County
C32466,CLIFTON M. DIXON,County Legislator,County,Albany,4,Albany County
C30812,CNY INDEPENDENCE PAC,N/A,County,Albany,N/A,Albany County
C27923,COALITION TO SAVE ALBANY,N/A,County,Albany,N/A,Albany County
C11199,COHEN FOR LEGISLATURE,County Legislator,County,Albany,29,Albany County
C21527,COHOES DEMOCRATIC COMMITTEE,N/A,City,Cohoes,N/A,Albany County
C07810,COLIN DWYER,Town Justice,Town,Bethlehem,N/A,Albany County
C02962,COLONIE CANDIDATE POLITCAL ACTION COMMITTEE,N/A,Town,Colonie,N/A,Albany County
C20199,COLONIE DEMOCRATIC COMMITTEE,N/A,Town,Colonie,N/A,Albany County
C22867,COLONIE REPUBLICAN PROGRAM COMMITTEE,N/A,Town,Colonie,N/A,Albany County
C06568,COMMISSO FOR MAYOR,Mayor,City,Albany,N/A,Albany County
C03214,COMMITTEE FOR THE 10TH WARD,N/A,County,Albany,N/A,Albany County
C00695,COMMITTEE TO ELECT ALEX PORTELLI FOR MAYOR,Mayor,City,Albany,N/A,Albany County
C10412,COMMITTEE TO ELECT AMY JOYCE FOR FAMILY COURT,Family Court Judge,County,Albany,N/A,Albany County
C03626,COMMITTEE TO ELECT ANDREW JOYCE,County Legislator,County,Albany,9,Albany County
C21011,COMMITTEE TO ELECT ANDREW SOMMERS TOWN OF COLONIE JUSTICE,Town Justice,Town,Colonie,N/A,Albany County
C32905,COMMITTEE TO ELECT ART SCHEUERMANN,Town Board,Town,Bethlehem,N/A,Albany County
C88359,COMMITTEE TO ELECT BOB BESTON,County Legislator,County,Albany,15,Albany County
C04545,COMMITTEE TO ELECT BRIAN MANION,Town Board,Town,Colonie,N/A,Albany County
C05931,COMMITTEE TO ELECT CHARLES V. PATRICELLI,Mayor,City,Watervliet,N/A,Albany County
C04400,COMMITTEE TO ELECT CHRIS BRIGGS,Common Council,City,Cohoes,3,Albany County
C08461,COMMITTEE TO ELECT CHRISTINE BADGER MELE,Town Board,Town,Colonie,N/A,Albany County
C01145,COMMITTEE TO ELECT CUNNINGHAM,Town Council,Town,Bethlehem,5,Albany County
C20972,COMMITTEE TO ELECT CUNNINGHAM,Town Board,Town,Bethlehem,N/A,Albany County
C01241,COMMITTEE TO ELECT DALE DESNOYERS,Town Justice,Town,Bethlehem,N/A,Albany County
C10962,COMMITTEE TO ELECT DAN MCGINN,Family Court Judge,County,Albany,N/A,Albany County
C55055,COMMITTEE TO ELECT DANIEL MACKAY,Town Council,Town,New Scotland,N/A,Albany County
C04096,COMMITTEE TO ELECT DAVID HARRINGTON,Town Board,Town,Bethlehem,N/A,Albany County
C04223,COMMITTEE TO ELECT DICK STEVENS,County Legislator,County,Albany,8,Albany County
C09836,COMMITTEE TO ELECT ELLEN FOGARTY,City Council,City,Watervliet,N/A,Albany County
C56595,COMMITTEE TO ELECT FRED DIMAGGIO  CEFD,Town Board,Town,Bethlehem,N/A,Albany County
C07670,COMMITTEE TO ELECT GARY FISH,Town Supervisor,Town,Bethlehem,N/A,Albany County
C00061,COMMITTEE TO ELECT GEORGE E. PRIMEAU SR (CTE GEORGE E. PRIMEAU),Mayor,City,Cohoes,N/A,Albany County
C23931,COMMITTEE TO ELECT GLEN CASEY,City Council,City,Albany,N/A,Albany County
C72035,COMMITTEE TO ELECT HELENA HEATH-ROLAND SURROGATE COURT JUDGE,Surrogate Court Judge,County,Albany,N/A,Albany County
C01662,COMMITTEE TO ELECT JASON WRIGHT,Town Clerk,Town,Guilderland,N/A,Albany County
C10447,COMMITTEE TO ELECT JASPER MILLS,County Court Judge,County,Albany,N/A,Albany County
A24004,COMMITTEE TO ELECT JILL A DUNN,Sup. Court Justice,County,Albany,3,Albany County
C31987,COMMITTEE TO ELECT JIM GRADY,Supervisor,Town,Bethlehem,N/A,Albany County
C04446,COMMITTEE TO ELECT JOANNE CUNNINGHAM,County Legislator,County,Albany,34,Albany County
C33572,COMMITTEE TO ELECT JOSEPH COMELLA,County Legislator,County,Albany,N/A,Albany County
C06049,COMMITTEE TO ELECT JOSHUA FARRELL,City Court Judge,City,Albany,N/A,Albany County
C86611,COMMITTEE TO ELECT JUDGE CARTER,City Court Judge,City,Albany,N/A,Albany County
C05960,COMMITTEE TO ELECT JUDGE CARTER,County Court Judge,County,Albany,N/A,Albany County
C76215,COMMITTEE TO ELECT JUDGE MARGARET ADKINS,Surrogate Court Judge,County,Albany,3,Albany County
C23368,COMMITTEE TO ELECT JUDGE RACHEL KRETSER,City Court Judge,City,Albany,3,Albany County
C02656,COMMITTEE TO ELECT JUDGE STIGLMEIER,City Court Judge,City,Albany,N/A,Albany County
C07429,COMMITTEE TO ELECT JULIE GANSLE FOR COLONIE TOWN CLERK,Town Clerk,Town,Colonie,N/A,Albany County
C47464,COMMITTEE TO ELECT JUSTIN TEFF,Common Council,City,Albany,11,Albany County
C04273,COMMITTEE TO ELECT KATE POPE,County Legislator,County,Albany,35,Albany County
C00993,COMMITTEE TO ELECT KELLY TOWN JUDGE,Town Justice,Town,Bethlehem,N/A,Albany County
C84945,COMMITTEE TO ELECT KEVIN HALBURIAN,Town Board,Town,Colonie,N/A,Albany County
C86480,"COMMITTEE TO ELECT LEO E. DORSEY, JR.",County Legislator,County,Albany,36,Albany County
C11186,COMMITTEE TO ELECT MARC DORSEY,Highway Superintendent,Town,Bethlehem,N/A,Albany County
C32560,COMMITTEE TO ELECT MELODY BURNS,Town Board,Town,Bethlehem,N/A,Albany County
C33069,COMMITTEE TO ELECT MICHAEL MANNING,N/A,City,Watervliet,N/A,Albany County
C20862,COMMITTEE TO ELECT MICHAEL MANNING,Mayor,City,Watervliet,N/A,Albany County
C32733,COMMITTEE TO ELECT MITCH GOLDSTEIN,County Legislator,County,Albany,35,Albany County
C76075,COMMITTEE TO ELECT MURRAY CARR,Surrogate Court Judge,County,Albany,N/A,Albany County
C31907,COMMITTEE TO ELECT PATRICIA SLAVI CK,Comptroller,County,Albany,N/A,Albany County
C07444,COMMITTEE TO ELECT PEGGY L. GERMANO,City Council,City,Watervliet,N/A,Albany County
C04065,COMMITTEE TO ELECT PETER G. BARBER,Town Supervisor,Town,Guilderland,N/A,Albany County
C33867,COMMITTEE TO ELECT R.A. DE PRIMA,County Legislator,County,Albany,6,Albany County
C81915,COMMITTEE TO ELECT RALPH AMBROSIO,Town Justice,Town,Bethlehem,N/A,Albany County
C21720,COMMITTEE TO ELECT RICHARD GROSS,County Legislator,County,Albany,26,Albany County
C21722,COMMITTEE TO ELECT RICHARD GROSS,County Legislator,County,Albany,26,Albany County
C03231,COMMITTEE TO ELECT RICHARD RIVERA,Family Court Judge,County,Albany,N/A,Albany County
C84111,COMMITTEE TO ELECT SHERRI BROOKS,City Court Judge,City,Albany,N/A,Albany County
C06885,COMMITTEE TO ELECT SHERRI BROOKS 2017,City Court Judge,City,Albany,N/A,Albany County
C47679,COMMITTEE TO ELECT STANLEY B. SEGAL,Town Justice,Town,Colonie,N/A,Albany County
C86747,COMMITTEE TO ELECT STANLEY SEGAL,Village Justice,Village,Menands,N/A,Albany County
C00366,COMMITTEE TO ELECT STEPHEN G. DENIGRIS,Town Justice,Town,Guilderland,N/A,Albany County
C21015,COMMITTEE TO ELECT SUSAN M. TATRO T.O.C. JUSTICE,Town Justice,Town,Colonie,N/A,Albany County
C84947,COMMITTEE TO ELECT THOMAS A. JASIEWICZ,Town Board,Town,Colonie,N/A,Albany County
C19553,COMMITTEE TO KEEP CAMPBELL SHERIFF,Sheriff,County,Albany,N/A,Albany County
C00209,COMMITTEE TO RE-ELECT ANDREW SOMMERS COLONIE JUSTICE,Town Justice,Town,Colonie,N/A,Albany County
C07155,COMMITTEE TO RE-ELECT ANDREW SOMMERS COLONIE JUSTICE 17,Town Justice,Town,Colonie,N/A,Albany County
C86382,COMMITTEE TO RE-ELECT BILL CARL,Town Council,Town,Colonie,N/A,Albany County
C47881,COMMITTEE TO RE-ELECT DENISE RANDALL GUILDERLAND TOWN JUSTICE,Town Justice,Town,Guilderland,N/A,Albany County
C19724,COMMITTEE TO RE-ELECT EGAN,Supervisor,Town,Bethlehem,N/A,Albany County
C21003,COMMITTEE TO RE-ELECT GEORGE LENHARDT,Councilman,Town,Bethlehem,N/A,Albany County
C84258,COMMITTEE TO RE-ELECT GERARD E. MANEY FAMILY COURT JUDGE,Family Court Judge,County,Albany,N/A,Albany County
C84058,COMMITTEE TO RE-ELECT HELENA HEATH-ROLAND CITY COURT JUDGE,City Court Judge,City,Albany,N/A,Albany County
C32066,COMMITTEE TO RE-ELECT JOHN BAILEY,Town Justice,Town,Guilderland,N/A,Albany County
C03611,COMMITTEE TO RE-ELECT JOHN BAILEY,Town Justice,Town,Guilderland,N/A,Albany County
C00838,COMMITTEE TO RE-ELECT JUDGE DENISE RANDALL,Town Justice,Town,Guilderland,N/A,Albany County
C07290,COMMITTEE TO RE-ELECT JUDGE DENISE RANDALL,Town Justice,Town,Guilderland,N/A,Albany County
C06533,COMMITTEE TO RE-ELECT JUDGE HELENA HEATH,City Court Judge,City,Albany,N/A,Albany County
C85384,COMMITTEE TO RE-ELECT JUDGE HERRICK,County Court Judge,County,Albany,N/A,Albany County
C11589,COMMITTEE TO RE-ELECT JUDGE JOHN W. BAILEY,Town Justice,Town,Guilderland,N/A,Albany County
C86311,COMMITTEE TO RE-ELECT JUDGE KEEFE,City Court Judge,City,Albany,N/A,Albany County
C33903,COMMITTEE TO RE-ELECT JUDGE MARGARET ADKINS,Town Justice,Town,New Scotland,N/A,Albany County
C20967,COMMITTEE TO RE-ELECT JUDGE MILANO,Town Justice,Town,Bethlehem,N/A,Albany County
C72756,COMMITTEE TO RE-ELECT KATE DOYLE,Surrogate Court Judge,County,Albany,N/A,Albany County
C06604,COMMITTEE TO RE-ELECT KRASHER,Common Council,City,Albany,11,Albany County
C32985,COMMITTEE TO RE-ELECT SIGNORACCI,City Council,City,Cohoes,6,Albany County
C02700,COMMITTEE TO REELECT JUDGE MARGARET WALSH,Family Court Judge,County,Albany,N/A,Albany County
C26231,CONSTANCE K. BURNS,State Committee,County,Albany,104,Albany County
C43835,COREY  ELLIS,Mayor,City,Albany,N/A,Albany County
C06964,COREY L. ELLIS,Council President,City,Albany,N/A,Albany County
C24202,COUNT ON US/ CUENTA CON NOSOTROS,N/A,County,Albany,N/A,Albany County
C05188,CRAIG A. SHUFELT,Town Board,Town,New Scotland,N/A,Albany County
C85103,"CRAIG D. APPLE, SR.",Sheriff,County,Albany,N/A,Albany County
C40978,CUSICK FOR D.A.,District Attorney,County,Albany,N/A,Albany County
C33977,CYNTHIA A. DOTT,County Legislator,County,Albany,24,Albany County
C01242,DALE ANDREW DESNOYERS,Town Justice,Town,Bethlehem,N/A,Albany County
C09216,DANIEL A. HANLEY,Town Council,Town,Knox,N/A,Albany County
C50496,DANIEL A. HORNICK,Town Council,Town,Colonie,N/A,Albany County
C10963,DANIEL C. MCGINN,Family Court Judge,County,Albany,N/A,Albany County
C04639,DANIEL C. MCGINN,County Legislator,County,Albany,8,Albany County
C20904,DANIEL C. MCGINN,N/A,County,Albany,N/A,Albany County
C03541,DANIEL EGAN,County Executive,County,Albany,N/A,Albany County
C50386,DANIEL J. DUSTIN,Councilman,Town,Colonie,N/A,Albany County
C03215,DANIEL J. HEALY,County Committee,County,Albany,10,Albany County
C05220,DANIEL JONATHAN PLAAT,County Executive,County,Albany,N/A,Albany County
C08393,DANIEL LEINUNG,Town Council,Town,New Scotland,N/A,Albany County
C51397,DANIEL MACKAY,Town Board,Town,New Scotland,N/A,Albany County
C87646,DANIEL MACKAY,Town Council,Town,New Scotland,N/A,Albany County
C01146,DANIEL P. CUNNINGHAM,Town Council,Town,Bethlehem,5,Albany County
C85221,DANIEL P. MC COY,County Executive,County,Albany,10,Albany County
C20444,DANIEL P. MCCOY,County Legislator,County,Albany,10,Albany County
C08614,DANIEL W. COFFEY,Town Council,Town,Bethlehem,N/A,Albany County
C10636,DANIELA CYDNEY WEISS,County Legislator,County,Albany,14,Albany County
C11074,DANIELLE CHRISTINE FUTIA,Town Board,Town,Colonie,N/A,Albany County
C11073,DANIELLE FOR COLONIE,Town Board,Town,Colonie,N/A,Albany County
C04689,DANNIELLE HILLE,County Legislator,County,Albany,6,Albany County
C51275,DARIUS FOR AUDITOR,City Auditor,City,Albany,N/A,Albany County
C10428,DARIUS FOR COMPTROLLER,Comptroller,County,Albany,N/A,Albany County
C00384,DARIUS FOR TREASURER,Treasurer,City,Albany,N/A,Albany County
C10429,DARIUS SHAHINFAR,Comptroller,County,Albany,N/A,Albany County
C00385,DARIUS SHAHINFAR,Treasurer,City,Albany,N/A,Albany County
C51295,DARIUS SHAHINFAR,City Auditor,City,Albany,N/A,Albany County
C08227,DARRELL ROBIN DUNCAN,Legislator,County,Albany,38,Albany County
C21734,"DAVID A. BOSWORTH, JR.",Town Board,Town,Guilderland,N/A,Albany County
C04132,DAVID B. CARDONA,County Legislator,County,Albany,29,Albany County
C53875,DAVID B. FRATERRIGO,Town Board,Town,Guilderland,N/A,Albany County
C23042,DAVID B. MAYO,County Legislator,County,Albany,21,Albany County
C87406,DAVID C. ROWLEY,Town Board,Town,Colonie,N/A,Albany County
C88108,DAVID E VANLUVEN,County Committee,Town,Bethlehem,12,Albany County
C08332,DAVID ERIK VANLUVEN,Supervisor,Town,Bethlehem,N/A,Albany County
C04168,DAVID ERIK VANLUVEN,Town Board,Town,Bethlehem,N/A,Albany County
C32932,DAVID HANNOUSH,County Legislator,County,Albany,15,Albany County
C10994,DAVID J. HARRINGTON,County Legislator,County,Albany,36,Albany County
C33194,DAVID J. LUSSIER,County Legislator,County,Albany,7,Albany County
C32995,DAVID J. WUKITSCH,Town Justice,Town,New Scotland,N/A,Albany County
C04097,DAVID JOHN HARRINGTON,Town Board,Town,Bethlehem,N/A,Albany County
C10479,DAVID JON LEVY,Family Court Judge,County,Albany,N/A,Albany County
C88116,DAVID M COOPER,County Committee,Town,Bethlehem,20,Albany County
C87381,DAVID R. GREEN,Town Board,Town,Colonie,N/A,Albany County
C88121,DAVID S LIEBSCHULTZ,County Committee,Town,Bethlehem,26,Albany County
C85101,DEBORAH BUSCH,County Legislator,County,Albany,39,Albany County
C88115,DEBORAH V BUCK,County Committee,Town,Bethlehem,19,Albany County
C34019,DEFRUSCIO FOR COUNCIL,Common Council,City,Cohoes,6,Albany County
C26230,DEMOCRATS FOR CONNIE BURNS,State Committee,County,Albany,104,Albany County
A27144,DEMOCRATS TO ELECT KEN PRESTON,Member of Assembly,County,Albany,108,Albany County
C34637,DENIS FOLEY,Town Clerk,Town,Bethlehem,N/A,Albany County
C88107,DENIS FOLEY,County Committee,Town,Bethlehem,11,Albany County
C21167,DENISE M. RANDALL,Town Justice,Town,Guilderland,N/A,Albany County
C84718,DENISE M. SHEEHAN,Supervisor,Town,Colonie,N/A,Albany County
C21534,DENNIS A. FEENEY,County Legislator,County,Albany,N/A,Albany County
